id,title,authors,description,categories,average_rating,ratings_count,published_date,page_count,thumbnail,language,source_query
sc7qwAEACAAJ,Physiology of Sport and Exercise,Jack H. Wilmore|David L. Costill|W. Larry Kenney,"Helps students develop their understanding of the body's abilities to perform various types and intensities of exercise and sport, to adapt to stressful situations and to improve its physiological capacities. This book presents the relationship between human physiology and exercise.",Medical,,0,2008,574,http://books.google.com/books/content?id=sc7qwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:sports
vkBtAAAAMAAJ,Clinical Sports Nutrition,Louise Burke|Vicki Deakin,"This text contains nutrition information, coupled with advice on how to apply sports nutrition guidelines in a clinical or practical framework.",Health & Fitness,2,1,2000,788,http://books.google.com/books/content?id=vkBtAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:sports
ny_rBy0mT7wC,Sports,François Fortin,"Text and numerous color graphics illustrate the equipment, techniques, rules, and history of 127 sports.",Photography,5,1,2000,390,http://books.google.com/books/content?id=ny_rBy0mT7wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
GrQAqxPJZBIC,"Sport, Violence and Society",Kevin Young,"Is violence an intrinsic component of contemporary sport? How does violence within sport reflect upon the attitudes of wider society? In this landmark study of violence in and around contemporary sport, Kevin Young offers the first comprehensive sociological analysis of an issue of central importance within sport studies. The book explores organized and spontaneous violence, both on the field and off, and calls for a much broader definition of ‘sports-related violence’, to include issues as diverse as criminal behaviour by players, abuse within sport and exploitatory labor practices. Offering a sophisticated new theoretical framework for understanding violence in a sporting context, and including a wide range of case-studies and empirical data – from professional soccer in Europe to ice hockey in North America – the book establishes a benchmark for the study of violence within sport and wider society. Through close examination of often contradictory trends, from anti-violence initiatives in professional sports leagues to the role of the media in encouraging hyper-aggression, the book throws new light on our understanding of the socially-embedded character of sport and its fundamental ties to history, culture, politics, social class, gender and the law.",Social Science,,0,2013-06-17,233,http://books.google.com/books/content?id=GrQAqxPJZBIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
c_u7_Hi9VgQC,Ice Hockey and Curling,Robin Johnson,"He shoots...he scores! Readers will score with this full-color book featuring two of the coolest sports on ice: hockey and curling. From the hard-hitting, puck-flying action of hockey to the precision sliding and sweeping of curling, these challenging team sports have it all. In this fantastic book, you'll learn about the rules, the records, and the heroes of the games. You'll also learn that sticks and stones won't break your bones - they're just part of the fun in these Winter Olympic sports.",Juvenile Nonfiction,,0,2009-08,36,http://books.google.com/books/content?id=c_u7_Hi9VgQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
m-u6KyViFD8C,Quidditch Through the Ages,J. K. Rowling,"Did you know that: there are 700 ways of committing a foul in Quidditch? The game first began to evolve on Queerditch Marsh? What Bumphing is? That Puddlemere United is oldest team in the Britain and Ireland league? (Founded 1163.) All this information and much more could be yours once you have read this book: this is all you could ever need to know about the history, the rules - and the breaking of the rules - of the noble wizarding sport of Quidditch.",Juvenile Fiction,4.5,2,2009-01-01,130,http://books.google.com/books/content?id=m-u6KyViFD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:sports
a_vxEAAAQBAJ,Social Psychology in Sport,Louise Davis|Richard Keegan|Sophia Jowett,"""This edited textbook offers a global perspective on research, practice, and future directions in social psychology in sport. Topics include relationships, communication, leadership, motivation, and morality. Readers gain insight into the interactions and dynamics that affect sport performance and the sport experience for youth and adult athletes and coaches""--",Sports & Recreation,,0,2024,481,http://books.google.com/books/content?id=a_vxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
E3QeEAAAQBAJ,Social Innovation in Sport,Anne Tjønndal,"This book provides fresh insights on how social innovations are utilized as strategies to make sport more accessible and inclusive. It does so by bringing together theoretical insights and empirical studies from Norway, Sweden, Denmark, the United States, Australia, Turkey and Belgium. Within the overarching topic of social innovation in sport, this book covers contemporary themes such as digitalization, urban planning, gender equality and innovation in sport policy and practice. It will be of interest to researchers and students in the fields of sociology of sport, sport management, sport science and sociology.",Sports & Recreation,,0,2021-02-15,292,http://books.google.com/books/content?id=E3QeEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
epeyNdX6Z_gC,Sports Biomechanics,Roger Bartlett,Students who are studying biomechanics in years two and three of their degree and postgraduate students of biomechanics will find this textbook invaluable.,Medical,,0,1999,300,http://books.google.com/books/content?id=epeyNdX6Z_gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
GT9_tplzl7gC,Sport Stars,David L. Andrews|Steven J. Jackson,"Sport Stars investigates the nature of contemporary sporting celebrity, examining stars' often turbulent relationship with the press, and exploring themes of identity, race, and spectacle.",History,,0,2002-09-11,305,http://books.google.com/books/content?id=GT9_tplzl7gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
kRSCAAAAMAAJ,Sport in Canada,Don Morrow|Kevin B. Wamsley,"Sport in Canada is as old as Aboriginal culture and as current as Hockey Night in Canada. In this comprehensive book, Don Morrow and Kevin B. Wamsley trace the history of sport from its earliest beginnings through to the creation of the first sporting clubs and into the form we recognize today. The perception of sports figures as celebrities and its impact on Canadian culture, from the marketing of Barbara ann Scott dolls to the shock and disappointment felt across Canada at the results of Ben Johnson's drug test results in 1988, is analyzed in detail. The authors provide an analysis that demonstrates the centrality of sport to Canadian identity while also exploring the influence of factors such as race, class, and gender on the experience of sport in Canada.",History,,0,2005,336,http://books.google.com/books/content?id=kRSCAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:sports
UBX_-n4N7GUC,The Masked Rider,Neil Peart,"Neil Peart's travel memoir of thoughts, observations, and experiences as he cycles through West Africa, reveals the subtle, yet powerful writing style that has made him one of rock's greatest lyricists. As he describes his extraordinary journey and his experiences ' from the pains of dysentery, to a confrontation with an armed soldier, to navigating dirt roads off the beaten path ' he reveals his own emotional landscape, and along the way, the different ""masks"" that he discovers he wears. ""Cycling is a good way to travel anywhere, but especially in Africa. You are independent and mobile, and yet travel at people speed ' fast enough to travel on to another town in the cooler morning hours, but slow enough to meet people: the old farmer at the roadside who raises his hand and says, 'You are welcome,' the tireless women who offer a smile to a passing cyclist, the children whose laughter transcends the humblest home.""",Sports & Recreation,,0,2010-11-16,315,http://books.google.com/books/content?id=UBX_-n4N7GUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
LtWBAAAAMAAJ,Sports,Allen Guttmann,"From ancient Egyptian archery and medieval Japanese football to contemporary American baseball, sports have been shaped by - and in turn have helped shape - the culture of which it is part. This work traces this evolution across continents, cultures, and historical epochs to construct a single comprehensive narrative of the world's sports.",Sports & Recreation,,0,2004,504,http://books.google.com/books/content?id=LtWBAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:sports
C0iQAgAAQBAJ,Sport in Asian Society,Fan Hong|J.A. Mangan,"First published in 2002. Routledge is an imprint of Taylor & Francis, an informa company.",Sports & Recreation,,0,2005-11-18,366,http://books.google.com/books/content?id=C0iQAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
_oMk3__gygcC,In Praise of Athletic Beauty,Hans Ulrich Gumbrecht,"This book looks beyond the usual explanations of why sports fascinates, and also strives for a language that can frame the pleasure we take in watching athletic events. Gumbrecht argues that the fascination with watching sports is probably the most popular and potent contemporary form of aesthetic experience.",Philosophy,5,1,2006,284,http://books.google.com/books/content?id=_oMk3__gygcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
8CYYYeTT5mEC,The Nazi Olympics,Richard D. Mandell,"This book is an expose of one of the most bizarre festivals in sport history. It provides portraits of key figures including Adolf Hitler, Jesse Owens, Leni Riefenstahl, Helen Stephens, Kee Chung Sohn, and Avery Brundage. It also conveys the charade that reinforced and mobilized the hysterical patriotism of the German masses.",Sports & Recreation,1,1,1971,364,http://books.google.com/books/content?id=8CYYYeTT5mEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
-6Db8mgxsqQC,Introduction to Sports Biomechanics,Roger Bartlett,"Introduction to Sports Biomechanics has been developed to introduce you to the core topics covered in the first two years of your degree. It will give you a sound grounding in both the theoretical and practical aspects of the subject. Part One covers the anatomical and mechanical foundations of biomechanics and Part Two concentrates on the measuring techniques which sports biomechanists use to study the movements of the sports performer. In addition, the book is highly illustrated with line drawings and photographs which help to reinforce explanations and examples.",Medical,,0,1997,304,http://books.google.com/books/content?id=-6Db8mgxsqQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:sports
r2vrAwAAQBAJ,The Poetic Edda,Carolyne Larrington,"This collection of Norse-Icelandic mythological and heroic poetry contains the greater narratives of the creation of the world and the coming of Ragnarok, the Doom of the Gods.",Literary Collections,,0,2014,385,http://books.google.com/books/content?id=r2vrAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
C6QWAQAAMAAJ,The Violence of Love,Saint Óscar Arnulfo Romero|Oscar Arnulfo Romero,"The violence of love is a collection of extracts from Romero's homilies, letters, and articles. Each of these passages gives insight into the mind and heart of the man behind them. They show a man not afraid to expose his weakness, a man whose tremendous faith and hope call us to repentance and renewal. Originally addressed to the people of El Salvador, Romero's words speak to all people, passionately decrying injustice and violence, exhorting to peace and forgiveness, and inviting all to help build a new, just society. Chronologically arranged, the selections reflect Romero's own spiritual transformation and call us to experience a similar revolution of the heart. Romero was martyred for his insistence that following Christ cannot be relegated to the spiritual realm. He did not die in vain; the people of Central America say his spirit lives on in them. As their struggle for justice and dignity intensifies, his words take on a renewed urgency.",Religion,,0,1998,248,http://books.google.com/books/content?id=C6QWAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:religion
QUkaVq_GlJUC,Traditions of the Bible,James L. Kugel,From the creation and the tree of knowledge through the Exodus from Egypt and the journey to the promised land; James Kugel shows us how the earliest interpreters of the scriptures radically transformed the Bible.,Reference,,0,1998,1092,http://books.google.com/books/content?id=QUkaVq_GlJUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
OPpf1up4ZwgC,The Four Noble Truths,Geshe Tashi Tsering,"The first step toward a solid foundation in Buddhist thought! The Foundation of Buddhist Thought series is an excellent introduction to Tibetan Buddhism. These unique books, based on the curriculum of a popular course of the same name, were developed by Geshe Tashi Tsering, a Tibetan scholar renowned for his ability to render Buddhist teachings accessible and relevant to everyday life. Geshe Tashi Tsering's Foundation of Buddhist Thought courses are systematic introductions to Buddhist philosophy and practice. With this series of books drawn from his highly successful courses, his insights can now be enjoyed by a wide audience of both specialists and newcomers to the Buddhist tradition. Geshe Tashi's presentations combine rigor and comprehensiveness with lucidity and accessibility, never divorced from the basic humanity and warmth of his personality. In Geshe Tashi, we encounter the new generation of Tibetan monk-scholars teaching in the West who are following in the eminent footsteps of Geshe Wangyal and Geshe Sopa. This volume, the first of six, provides a complete presentation the Buddha's seminal Four Noble Truths, which summarize the fundamentals of the Buddhist worldview. Indeed, they are an essential framework for understanding all of the other teachings of the Buddha.",Religion,,0,2010-07,246,http://books.google.com/books/content?id=OPpf1up4ZwgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
8cdbDj9YWH8C,The Oxford Dictionary of Saints,David Hugh Farmer,"Fully updated and revised with over 100 new saints, the fifth edition of this well-respected and enjoyed dictionary features concise accounts of the lives, cults, and artistic associations of over 1,400 saints, from the famous to the obscure. This edition includes a new appendix on pilgrimage sights in Europe.",Religion,4,1,2003,612,http://books.google.com/books/content?id=8cdbDj9YWH8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:religion
PeWi0QEACAAJ,Why I Am an Atheist,BHAGAT. SINGH,"""Why I Am an Atheist"" is a deeply personal exploration of the author's journey away from religious belief toward atheism. Through candid reflections and logical arguments, the book examines the philosophical, moral, and intellectual reasons behind rejecting theism. It challenges traditional notions of faith and presents a compelling case for living a life grounded in reason, evidence, and skepticism. This thought-provoking work offers both a personal narrative and a broader critique of religion, providing readers with a thoughtful perspective on the path to atheism.",Biography & Autobiography,,0,2021-04,0,http://books.google.com/books/content?id=PeWi0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:religion
FpjXAAAAMAAJ,Folk Religion,Harvinder Singh Bhatti,On detailed inquiry of folk religion of Punjab.,Religion,,0,2000,232,http://books.google.com/books/content?id=FpjXAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:religion
V1Z5DBOlzoIC,The Formation of Hanbalism,Nimrod Hurvitz,Ahmad Ibn Hanbal (d. 855) was the eponymous founder of a school of law. This study moves beyond conventional biography to integrate the story of Ibn Hanbal's life with the main events during a crucial formative period in Islamic history.,History,,0,2002,212,http://books.google.com/books/content?id=V1Z5DBOlzoIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
9nppHCywauIC,The Prophetic Literature,Marvin Alan Sweeney,"Although the biblical books of the prophets are based upon the careers and experiences of some of the most talented and provocative individuals of their time, the books must be read first as literature. Each book displays its own unique organization, literary characteristics, and theological outlook in presenting the prophets. In the case of Jeremiah, for example, interpreters must even consider two distinctive forms of the book in the Hebrew Bible and the Greek Septuagint. By guiding the reader through the literary structure and language of each of the prophetic books as well as the social roles of the individual prophets, this volume opens the reader to greater understanding and appreciation of the prophets of Israel and Judah.",Religion,,0,2005,243,http://books.google.com/books/content?id=9nppHCywauIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
zN50EAAAQBAJ,Works of Martin Luther,Martin Luther,"Works of Martin Luther is a classic collection of the writings of the religious leader. No historical study of current issues--politics or social science or theology--can far proceed without bringing the student face to face with the principles asserted by the Reformation of the Sixteenth Century and its great leader, Martin Luther Martin Luther was the author of substantial body of written works at the service of the Reformation. All his life Luther published theological writings. His commitment also induced him to write political and polemical texts. According to Yves Congar, a Dominican, “Luther was one the greatest religious geniuses in History… who redesigned Christianity entirely.”",Religion,,0,,947,http://books.google.com/books/content?id=zN50EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
t12VEAAAQBAJ,A Jew's Best Friend?,Phillip Ackerman-Lieberman|Rakefet Zalashik,"The dog has captured the Jewish imagination from antiquity to the contemporary period, with the image of the dog often used to characterize and demean Jewish populations in medieval Christendom. This book discusses the cultural manifestations of the relationship between dogs and Jews, from ancient times onwards.",Social Science,,0,2013-04-23,375,http://books.google.com/books/content?id=t12VEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
cJPmCwAAQBAJ,Mother of Bliss,Lisa Lassell Hallstrom,1. Introduction. 2. The Life Story of Anandamayi Ma. 3. Woman. 4. Saint. 5. Guru. 6. Avatara and Divine Mother. 7. Anandamayi Ma and Gender. Bibliography. Index.,Biography & Autobiography,,0,1999,324,http://books.google.com/books/content?id=cJPmCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
EaiHn2mZmt4C,A Calendar of Wisdom,Leo Tolstoy,"This collection of daily thoughts to nourish the soul from the world’s sacred texts by Leo Tolstoy feature gems of inspiration and wisdom—author Thomas Keneally calls this book “transcendent, and that we are grateful he lived long enough to endow us with his grand inheritance.” This is the first-ever English-language edition of the book Leo Tolstoy considered to be his most important contribution to humanity, the work of his life's last years. Widely read in pre-revolutionary Russia, banned and forgotten under Communism; and recently rediscovered to great excitement, A Calendar of Wisdom is a day-by-day guide that illuminates the path of a life worth living with a brightness undimmed by time. Unjustly censored for nearly a century, it deserves to be placed with the few books in our history that will never cease teaching us the essence of what is important in this world.",Religion,5,2,2010-05-11,390,http://books.google.com/books/content?id=EaiHn2mZmt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:religion
1EaeAgAAQBAJ,"Islam, Gender, and Social Change",Yvonne Yazbeck Haddad|John L. Esposito,"For several decades, the Muslim world has experienced a religious resurgence. The reassertion of Islam in personal and political life has taken many forms, from greater attention to religious practice to the emergence of Islamic organizations, movements, and institutions. One of the most controversial and emotionally charged aspects of this revival has been its effect on women in Muslim societies. The essays collected in this book place this issue in its historical context and offer case studies of Muslim societies from North Africa to Southeast Asia. These fascinating studies shed light on the impact of the Islamic resurgence on gender issues in Iran, Egypt, Jordan, Pakistan, Oman, Bahrain, the Philippines, and Kuwait. Taken together, the essays reveal the wide variety that exists among Muslim societies and believers, and the complexity of the issues under consideration. They show that new things are happening for women across the Islamic world, and are in many cases being initiated by women themselves. The volume as a whole militates against the stereotype of Muslim women as repressed, passive, and without initiative, while acknowledging the very real obstacles to women's initiatives in most of these societies.",Religion,,0,1997-12-11,288,http://books.google.com/books/content?id=1EaeAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
INrHQgAACAAJ,The Atlas of Religion,Joanne O'Brien|Martin Palmer,"First Published in 2007. Routledge is an imprint of Taylor & Francis, an informa company.",Ecclesiastical geography,,0,2007,0,http://books.google.com/books/content?id=INrHQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:religion
S0_Qsh7MkMIC,The Gospel and Its Meaning,Harry Lee Poe,"The Gospel speaks to a broad range of concerns--concerns that differ from person to person, group to group, culture to culture. Yet the practice of the twentieth-century church has been to concentrate on one part of the Gospel--repentance and justification--as if it were the whole, and to proclaim that part uniformly, often without meaningful context that would demonstrate the relevance of Christ to the hearer. The Gospel and Its Meaning breaks fresh ground for evangelism. It equips the students of evangelism with theological foundations for reaching diverse groups, from Hindi pantheists to radical environmentalists, without compromising the Gospel's integrity. The Gospel and Its Meaning - Identifies the basic elements of the Gospel - Shows the relationship of these elements to specific doctrines of theology - Identifies theologians and systems that have focused on particular doctrines - Shows which elements of the Gospel deal most clearly with various issues of evangelism - Suggests avenues of ministry that can address each evangelistic issue. By showing how different parts of the Gospel address the concerns of people within and without the Judeo-Christian worldview, The Gospel and Its Meaning helps those in any kind of evangelistic ministry to develop a means for connecting the Gospel directly to the world of the hearer while distinguishing it clearly from philosophies of relativism and pluralism.",Religion,,0,1996,340,http://books.google.com/books/content?id=S0_Qsh7MkMIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
iFEL2yjkbAAC,Animals and World Religions,Lisa Kemmerer,"Despite increasing public attention to animal suffering, little seems to have changed: human beings continue to exploit billions of animals in factory farms, medical laboratories, and elsewhere. In this wide-ranging and perceptive study, Lisa Kemmerer shows how spiritual writings and teachings in seven major religious traditions can help people to consider their ethical obligations towards other creatures.",Religion,,0,2011-12-09,361,http://books.google.com/books/content?id=iFEL2yjkbAAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:religion
n4XYAAAAMAAJ,Religion Explained,Pascal Boyer,"A brilliant and provocative exploration of the nature of human religious belief and what it can tell us about human psychology and evolution, in the tradition of Steven Pinker's ""The Language Instinct.",Religion,,0,2001,454,http://books.google.com/books/content?id=n4XYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spirituality
NFQ7DwAAQBAJ,The Power of Now,Eckhart Tolle,Donation Jan/03 Forward by Russell E. DiCarlo replaced Sept.05.,"Body, Mind & Spirit",5,2,2004,258,http://books.google.com/books/content?id=NFQ7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
Bto8PqiEnzIC,The Power of Now,Eckhart Tolle,Self help.,"Body, Mind & Spirit",4,10,2010,306,http://books.google.com/books/content?id=Bto8PqiEnzIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
zXpJEAAAQBAJ,Pain and Its Transformations,Sarah Coakley|Kay Kaufman Shelemay,"As neuroscientific research shows, even the immediate sensation of pain is shaped by psychological state and interpretation. Many individuals and cultures find meaning, particularly religious meaning, even in chronic and inexplicable pain. This interdisciplinary book includes not only essays but also discussions among a wide range of specialists.",Medical,,0,2007,454,http://books.google.com/books/content?id=zXpJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
xykdAQAAIAAJ,Zalmoxis,Lucian Blaga,"Lucian Blaga (1895-1961) is judged by many to be Romania’s most original philosopher and greatest poet of the twentieth century. While scholars with access to his works in Romanian are well-aware of their importance, his writings have remained, until now, little known in the English-speaking world. Zalmoxis is Blaga’s first play and one of his most important literary works. It underlines much of his philosophy. Blaga’s attachment to Expressionist ideals is discernible in his treatment of the characters primarily as vehicles of ideas and his preference for primitive nature over the cultured metropolis. The book includes an introduction by Keith Hitchins of the University of Illinois, a leading historian of Romania in the United States, and a scholar intimately acquainted with Blaga’s philosophy. In it, he discusses the importance of Blaga’s life and work. The translation is by Doris Platnus-Runey from Wayne State University.",Drama,,0,2001,124,http://books.google.com/books/content?id=xykdAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spirituality
4gtY0UC0sKkC,Gravity and Grace,Simone Weil,"Gravity and Grace was the first ever publication by the remarkable thinker and activist, Simone Weil. In it Gustave Thibon, the farmer to whom she had entrusted her notebooks before her untimely death, compiled in one remarkable volume a compendium of her writings that have become a source of spiritual guidance and wisdom for countless individuals. On the fiftieth anniversary of the first English edition - by Routledge & Kegan Paul in 1952 - this Routledge Classics edition offers English readers the complete text of this landmark work for the first time ever, by incorporating a specially commissioned translation of the controversial chapter on Israel. Also previously untranslated is Gustave Thibon's postscript of 1990, which reminds us how privileged we are to be able to read a work which offers each reader such 'light for the spirit and nourishment for the soul'. This is a book that no one with a serious interest in the spiritual life can afford to be without.",Philosophy,5,2,2002,228,http://books.google.com/books/content?id=4gtY0UC0sKkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
4E0ADAAAQBAJ,Waking Up,Sam Harris,"Spirituality.The search for happiness --Religion, East and West --Mindfulness --The truth of suffering --Enlightenment --The mystery of consciousness.The mind divided --Structure and function --Are our minds already split? --Conscious and unconscious processing in the brain --Consciousness is what matters --The riddle of the self.What are we calling ""I""? --Consciousness without self --Lost in thought --The challenge of studying the self --Penetrating the illusion --Meditation.Gradual versus sudden realization --Dzogchen: taking the goal as the path --Having no head --The paradox of acceptance --Gurus, death, drugs, and other puzzles.Mind on the brink of death --The spiritual uses of pharmacology.","Body, Mind & Spirit",,0,2015-06-16,256,http://books.google.com/books/content?id=4E0ADAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
45vQK6P0TXcC,Mother Teresa: Come be My Light,Mother Teresa,"Capturing the inner spiritual life of one of the twentieth century's most beloved religious figures, the private writings, reflections, and letters of Mother Teresa chronicle her spiritual journey, her dedication to charity, the trial of faith that tested and shaped her beliefs, and her contributions to the sick, the dying, and the forgotten. 60,000 first printing.",Religion,5,2,2007,404,http://books.google.com/books/content?id=45vQK6P0TXcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spirituality
lysqAQAAMAAJ,The Wisdom of the Enneagram,Don Richard Riso|Russ Hudson,"Provides insight for determining personality types, from recognizing each type's wake-up call and red flag to letting go of self-defeating habits and reactions.","Body, Mind & Spirit",,0,1999-06-15,404,http://books.google.com/books/content?id=lysqAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spirituality
Ua0_7HPGMqkC,Sacred Places Around the World,Brad Olsen,"World travelers and armchair tourists who want to explore the mythology and archaeology of the ruins, sanctuaries, mountains, lost cities, and temples of ancient civilizations will find this guide ideal. Detailed here are the monuments and sites where ancient peoples once gathered to perform sacred rituals and ceremonies to worship various gods and to achieve spiritual enlightenment. Important archaeological, historical, and geological destinations worldwide are profiled, from the Great Pyramid in Egypt and the Forbidden City in China to the Temples of Angkor in Cambodia and Mount Shasta in California. Sites are described in historical and cultural context, and practical contemporary travel information is provided, including detailed maps, drawings, photographs, and travel directions. This replaces 1888729023.",Religion,,0,2004,289,http://books.google.com/books/content?id=Ua0_7HPGMqkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
BKdPuXJlTjoC,The New Civilisation,Vladimir Megre,Over 10 million copies sold in 20 language,Nature,5,1,2008,256,http://books.google.com/books/content?id=BKdPuXJlTjoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
97QaBgAAQBAJ,The Spiritual Dynamic in Modern Art,C. Spretnak,This book demonstrates that numerous prominent artists in every period of the modern era were expressing spiritual interests when they created celebrated works of art. This magisterial overview insightfully reveals the centrality of an often denied and misunderstood element in the cultural history of modern art.,Religion,,0,2014-10-22,460,http://books.google.com/books/content?id=97QaBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
2uDPOsstAfIC,The Spiritual Tourist,Mick Brown,"A spiritual adventurer chronicles his most interesting travel experiences in search of bliss, from a pilgrimage to the Himalayas to see the Dalai Lama; to Germany, where an Indian girl is rumored to be the ""the Divine Mother""; to a famous ashram, where miracles are still possible. Original.",Religion,2,1,1999-07-16,322,http://books.google.com/books/content?id=2uDPOsstAfIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spirituality
fq74sgEACAAJ,H is for Hawk,Helen Macdonald,"When Helen Macdonald's father died suddenly on a London street, she was devastated. An experienced falconer, Helen had never before been tempted to train one of the most vicious predators, the goshawk, but in her grief, she saw that the goshawk's fierce and feral temperament mirrored her own. Resolving to purchase and raise the deadly creature as a means to cope with her loss, she adopted Mabel, and turned to the guidance of The Once and Future King author T.H. White's chronicle The Goshawk to begin her challenging endeavor. Projecting herself ""in the hawk's wild mind to tame her"" tested the limits of Macdonald's humanity and changed her life.",Falconry,,0,2015,0,http://books.google.com/books/content?id=fq74sgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spirituality
T8oy7tNVtqIC,Flatland,Edwin Abbott Abbott,"In 1884, Edwin Abbott Abbott wrote a mathematical adventure set in a two-dimensional plane world, populated by a hierarchical society of regular geometrical figures-who think and speak and have all too human emotions. Since then Flatland has fascinated generations of readers, becoming a perennial science-fiction favorite. By imagining the contact of beings from different dimensions, the author fully exploited the power of the analogy between the limitations of humans and those of his two-dimensional characters. A first-rate fictional guide to the concept of multiple dimensions of space, the book will also appeal to those who are interested in computer graphics. This field, which literally makes higher dimensions seeable, has aroused a new interest in visualization. We can now manipulate objects in four dimensions and observe their three-dimensional slices tumbling on the computer screen. But how do we interpret these images? In his introduction, Thomas Banchoff points out that there is no better way to begin exploring the problem of understanding higher-dimensional slicing phenomena than reading this classic novel of the Victorian era.",Computers,5,1,1991,144,http://books.google.com/books/content?id=T8oy7tNVtqIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
ovup9rSE5nMC,Anglo-Saxon Spirituality,Robert Boenig,A collection of writings dating from the mid-400s to the Norman Conquest introduce readers to the pagan/Christian spirituality of Medieval Europe. Original.,History,,0,2000,356,http://books.google.com/books/content?id=ovup9rSE5nMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:spirituality
aLcqAAAAYAAJ,Jonathan Livingston Seagull,Richard Bach,Allegory about a sea gull who seeks to attain perfect flight. Copyright © Libri GmbH. All rights reserved.,Fiction,4.5,3,1970,104,http://books.google.com/books/content?id=aLcqAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:spirituality
